AQW00061705         252C
USC00054444         365S
USC00054452         275S
USC00054538         474R
USC00054546         322R
USC00054603         569S
USC00054606         501R
USC00054664           9R
USC00054724         769R
USC00054726         593S
USC00054734       -7777S
USC00054742           0S
USC00054762         374S
USC00054770         661S
USC00054834         744S
USC00054934           2S
USC00054945         348S
USC00055025         358R
USC00055056         181R
USC00055116         433R
USC00055236         279R
USC00055322           5S
USC00055327           6R
USC00055402         241R
USC00055414           1R
USC00055422         267R
USC00055427         154R
USC00055446         185R
USC00055484          89R
USC00055507          20R
USC00055531          86C
USC00055706           3R
USC00055722         224S
USC00055734          49R
USC00055797           0R
USC00055922         295R
USC00055934          94R
USC00055970         122R
USC00055984         543R
USC00056012          67S
USC00056023         370R
USC00056040           0Q
USC00056131         673R
USC00056136         577S
USC00056203       -7777R
USC00056205           0Q
USC00056258          57R
USC00056259           6Q
USC00056266         473S
USC00056306         320S
USC00056318         441R
USC00056320         589Q
USC00056323         187R
USC00056326         206R
USC00056520          10Q
USC00056765         605S
USC00056816         188R
USC00056832         405S
USC00056970           3R
USC00056977           0R
USC00057017           0R
USC00057020          36R
USC00057031         509R
USC00057050           0R
USC00057167         768S
USC00057249         137R
USC00057287         172R
USC00057296           1R
USC00057309           0S
USC00057317          17R
USC00057337          16R
USC00057370          94R
USC00057430          20R
USC00057450           0Q
USC00057515         359S
USC00057519         406Q
USC00057557         291R
USC00057560         298R
USC00057572           7R
USC00057582         551Q
USC00057656           0R
USC00057848           3R
USC00057866         568R
USC00057936          34S
USC00057950         510R
USC00058008         433R
USC00058022         159R
USC00058064           0S
USC00058157         581S
USC00058184           0S
USC00058204       -7777S
USC00058290         615R
USC00058429         182S
USC00058436         186R
USC00058501           0R
USC00058560         769S
USC00058575           4R
USC00058582          10R
USC00058690          20R
USC00058756           4S
USC00058781         186S
USC00058793         602S
USC00058839         278S
USC00058860           0Q
USC00058931           3R
USC00058995         299S
USC00059058         428Q
USC00059060         363Q
USC00059096           0R
USC00059181           0R
USC00059243         406R
USC00059265           1S
USC00059275         248R
USC00059278          43Q
USC00059295         470S
USC00060227          49R
USC00060808          60Q
USC00060961          90R
USC00060973          92S
USC00061762         155R
USC00062658          27S
USC00063207          31R
USC00063420          10Q
USC00064488          70R
USC00064767         102R
USC00065077         124R
USC00065445           5S
USC00065910          91S
USC00067373           9R
USC00067958          36Q
USC00067970         148R
USC00068138          20R
USC00069388          62R
USC00069568          88R
USC00071200         154Q
USC00072730         233S
USC00073570         223R
USC00073595         179R
USC00075320         242S
USC00075915         196R
USC00076410         302R
USC00079605         112S
USC00080228        1049S
USC00080236        1157S
USC00080369        1242S
USC00080414         429Q
USC00080478        1076S
USC00080598         763Q
USC00080611        1260R
USC00080737         894Q
USC00080945         826S
USC00080992        1212Q
USC00081046        1006S
USC00081163        1026R
USC00081276         773S
USC00081306         141R
USC00081544         977R
USC00081641        1016R
USC00081651         881Q
USC00081654         961R
USC00081795         457P
USC00081858         704R
USC00081978         655R
USC00082008         637R
USC00082046         647Q
USC00082150         516Q
USC00082220         760R
USC00082229         703R
USC00082298        1004S
USC00082418         850R
USC00082441         272R
USC00082850         997R
USC00082915         734S
USC00082944         482S
USC00083020         619R
USC00083026         954Q
USC00083137         861R
USC00083153         902Q
USC00083163         524S
USC00083168         487R
USC00083207         438S
USC00083322         863R
USC00083470         728S
USC00083874         528S
USC00083909         374S
USC00083956         874S
USC00084050         443Q
USC00084095         741R
USC00084210        1251R
USC00084289        1071S
USC00084320         207Q
USC00084366         383R
USC00084394         781S
USC00084412         216Q
USC00084461         811Q
USC00084625         840S
USC00084662         916R
USC00084707        1268R
USC00084731         764S
USC00084802         775R
USC00085076         742S
USC00085099        1100S
USC00085184         746R
USC00085275         768S
USC00085359         164Q
USC00085539         894S
USC00085667         607R
USC00085793         633S
USC00085879         692R
USC00085880         703Q
USC00085895         899S
USC00085973        1247R
USC00086065        1143S
USC00086078        1283R
USC00086129         721Q
USC00086240         480R
USC00086315         650Q
USC00086406        1399S
USC00086414        1188S
USC00086485         996R
USC00086618        1004R
USC00086657        1016Q
USC00086764         465Q
USC00086767         314R
USC00086828         747Q
USC00086842         595S
USC00086880         810S
USC00087020         271R
USC00087025         905S
USC00087205         868S
USC00087228        1011Q
USC00087254        1039R
USC00087261         429Q
USC00087304         697Q
USC00087397        1170S
USC00087429         736R
USC00087760        1704S
USC00087826         554S
USC00087851        1164S
USC00087982        1002S
USC00088076         531Q
USC00088368         608Q
USC00088529         740R
USC00088565         843R
USC00088620         529R
USC00088756         962Q
USC00088780         847R
USC00088824         489S
USC00088841         538R
USC00088942         788S
USC00089120         631S
USC00089176         712R
USC00089219         415R
USC00089401        1335S
USC00089430         889R
USC00089511        1153Q
USC00089566         409S
USC00089640         896Q
USC00089707        1105R
USC00090010         700Q
USC00090140         848S
USC00090181         370R
USC00090219         198R
USC00090236         257R
USC00090253         631R
USC00090311         487S
USC00090406         627R
USC00090586         919R
USC00090603         103Q
USC00090670         756Q
USC00090969          76R
USC00090979         704R
USC00091266         772S
USC00091340         697S
USC00091448         595R
USC00091463         766Q
USC00091474         480R
USC00091500         539S
USC00091640         232S
USC00091665         606R
USC00091732         391S
USC00091863         378R
USC00091908         373Q
USC00091965         288Q
USC00091973         872R
USC00091982          95S
USC00092006         132Q
USC00092153         802R
USC00092159         737R
USC00092180         346S
USC00092266         676S
USC00092283         139S
USC00092318         454R
USC00092361         663Q
USC00092408         248Q
USC00092450         517S
USC00092475         181R
USC00092485         438C
USC00092493         414R
USC00092517         408R
USC00092738         920Q
USC00092783         851S
USC00092839         809S
USC00092966         557S
USC00093060         240C
USC00093271         365R
USC00093325         952R
USC00093386         727R
USC00093465        1166S
USC00093506         544R
USC00093538         757S
USC00093578         566Q
USC00093621         223S
USC00093658         633Q
USC00093754         748R
USC00093915         548R
USC00094133         259S
USC00094138         444Q
USC00094170         703R
USC00094204         811R
USC00094230         176R
USC00094429         768S
USC00094594         672R
USC00094648         136S
USC00094674         911R
USC00094676         666R
USC00094700         408R
USC00094862         743Q
USC00094941         325R
USC00094949         496R
USC00095061         654Q
USC00095165         492Q
USC00095314         662S
USC00095394         889R
USC00095401         800Q
USC00095404          67Q
USC00095550         677R
USC00095666         628R
USC00095811         709R
USC00095863         646S
USC00095874         717S
USC00095882         713R
USC00095988         612S
USC00096087         663S
USC00096093           0Q
USC00096148         590R
USC00096219         716R
USC00096244         871R
USC00096335         463S
USC00096838         687Q
USC00097087         488S
USC00097171         609R
USC00097276         786S
USC00097528         657Q
USC00097600         452S
USC00097777         608S
USC00097808         431S
USC00097827           5R
USC00098064         601S
USC00098436         451Q
USC00098476         643R
USC00098496         780R
USC00098535         387S
USC00098661         506S
USC00098666         737Q
USC00098703         658R
USC00098740         273S
USC00098950         459S
USC00098974         735Q
USC00099027         683Q
USC00099124         648R
USC00099141         512S
USC00099157         439S
USC00099186         832S
USC00099194         697S
USC00099291         377S
USC00099466         475R
USC00099486         259R
USC00099502         642R
USC00100010         246S
USC00100227         185R
USC00100282         438Q
USC00100347         233R
USC00100375         147R
USC00100448         454S
USC00100470          42R
USC00100528         238Q
USC00100667          70S
USC00100803         149R
USC00100915         172R
USC00101017         300S
USC00101018         607Q
USC00101079         177S
USC00101180         612S
USC00101195         697S
USC00101220         290S
USC00101363          87S
USC00101380         622R
USC00101408         552S
USC00101514          63S
USC00101551         293S
USC00101663         264R
USC00101671          36S
USC00101831          27Q
USC00101956         136R
USC00102159          57S
USC00102187         457Q
USC00102246          62R
USC00102260         101R
USC00102390          84R
USC00102444         378R
USC00102575          12R
USC00102577           0Q
USC00102676          10S
USC00102707          89S
USC00102845         405C
USC00102875         146S
USC00102892         117R
USC00102942         439S
USC00103108         126R
USC00103110         116R
USC00103143         316S
USC00103297         198S
USC00103448         416S
USC00103554         147R
USC00103558          53Q
USC00103631         756R
USC00103732         201S
USC00103760         541S
USC00103771         105S
USC00103882          32R
USC00103932         565S
USC00103940         104Q
USC00103964         261R
USC00104140         351S
USC00104150          64R
USC00104268         135R
USC00104295         220Q
USC00104318         599Q
USC00104384         252R
USC00104442         279S
USC00104455         264S
USC00104456          39S
USC00104598          32R
USC00104670         501S
USC00104793         463Q
USC00104831         179S
USC00104845          32S
USC00105013         222R
USC00105015         360Q
USC00105038         500R
USC00105143         209Q
USC00105177          54R
USC00105275          48S
USC00105414         181R
USC00105462          47R
USC00105563         251R
USC00105567         309R
USC00105678         367R
USC00105685         181R
USC00105708          41S
USC00105716         192R
USC00105897         195S
USC00105980         324S
USC00106152         200S
USC00106174         600R
USC00106230          86R
USC00106250         223R
USC00106305         514S
USC00106388         160R
USC00106424          95S
USC00106542         173S
USC00106586         443R
USC00106764          80R
USC00106844         516S
USC00106877         238S
USC00106891         441S
USC00107040         153S
USC00107046         134R
USC00107188         132R
USC00107208         334R
USC00107210         314Q
USC00107264         143S
USC00107301         123S
USC00107320         133S
USC00107346         236R
USC00107386         121C
USC00107563          93R
USC00107644         104R
USC00107648         274S
USC00107673         219S
USC00107689         100Q
USC00107706         544S
USC00107808         247Q
USC00107968         288R
USC00108022          84S
USC00108062         218S
USC00108080         172C
USC00108137         111S
USC00108380         461R
USC00108395         340S
USC00108412          55R
USC00108535         102S
USC00108676          26S
USC00108928         617S
USC00108937         119S
USC00109000         280R
USC00109065           9R
USC00109293         452S
USC00109303         180S
USC00109498         102R
USC00109560          16R
USC00109638         530R
USC00109698         333Q
USC00109846          30S
USC00109950         145Q
USC00109951          64R
USC00109963         460R
USC00110055         372R
USC00110072         117S
USC00110137         365R
USC00110140          92Q
USC00110187         379S
USC00110203          86R
USC00110306         123R
USC00110338         121S
USC00110356          71Q
USC00110442          65R
USC00110598         302R
USC00110608         384R
USC00110764         239R
USC00110993         291S
USC00111020         312R
USC00111160         316S
USC00111265         403S
USC00111280         228R
USC00111290         246R
USC00111302         264R
USC00111420         135R
USC00111436         225S
USC00111475         209S
USC00111497         133S
USC00111550          80Q
USC00111835          93R
USC00111836         203R
USC00112140         159S
USC00112193         281S
USC00112223         110S
USC00112348          98S
USC00112353         422R
USC00112483         341S
USC00112500         143R
USC00112736         127R
USC00112745          94R
USC00112931         329S
USC00112993         154R
USC00113106         356R
USC00113109         287S
USC00113262         117S
USC00113290         153S
USC00113320         130S
USC00113335         154S
USC00113369         162R
USC00113384         188S
USC00113413         147R
USC00113455         168R
USC00113530         221R
USC00113580         329R
USC00113612         356Q
USC00113717         197R
USC00113879         376R
USC00113940         358R
USC00114013         253S
USC00114078         224Q
USC00114108         383S
USC00114198         188S
USC00114317         423Q
USC00114400         307R
USC00114442         229C
USC00114447         261Q
USC00114489         254S
USC00114530         138S
USC00114603         163S
USC00114629         474S
USC00114710         105R
USC00114780          82Q
USC00114805         262S
USC00114823         202S
USC00114837          86R
USC00114957         332R
USC00114991         328Q
USC00115079         203S
USC00115097          71Q
USC00115113         196Q
USC00115326         126R
USC00115342         182R
USC00115372          95R
USC00115413         199R
USC00115430         234R
USC00115493          72R
USC00115515         377R
USC00115712         229S
USC00115768         180S
USC00115772         143R
USC00115825         149R
USC00115833         180S
USC00115841         204S
USC00115888         254S
USC00115901         142S
USC00115943         210C
USC00115950         259R
USC00115961          68R
USC00116011         225S
USC00116025         216Q
USC00116080         188R
USC00116157         301R
USC00116159         132R
USC00116200         197S
USC00116383         374R
USC00116446         261S
USC00116526         132S
USC00116558         251S
USC00116579         231S
USC00116610         158S
USC00116616         130S
USC00116661          65S
USC00116663         135R
USC00116738         295R
USC00116753         173S
USC00116819         237S
USC00116837         247R
USC00116897         139R
USC00116910         150S
USC00116970         222Q
USC00116998         187R
USC00117004         210S
USC00117077         264R
USC00117126         232R
USC00117187         323Q
USC00117345         227Q
USC00117354          92S
USC00117391         159R
USC00117457         104R
USC00117487         300S
USC00117551         177S
USC00117590          78Q
USC00117636         290C
USC00117876         235R
USC00117952         200Q
USC00118020         333S
USC00118147         319S
USC00118186         192Q
USC00118293          80S
USC00118324         278R
USC00118389         155R
USC00118684         185S
USC00118740         185S
USC00118781         261S
USC00118860         248S
USC00118916         128S
USC00119002         328R
USC00119021         147S
USC00119029         102R
USC00119221          97S
USC00119241         204S
USC00119331         262R
USC00119354         183S
USC00120177         134S
USC00120200          56S
USC00120331         124R
USC00120676         131S
USC00120784         176S
USC00120830         111S
USC00120852         327R
USC00120858         112R
USC00121030         266S
USC00121229          52R
USC00121303         132R
USC00121417          37Q
USC00121425         303R
USC00121739          79S
USC00121747         164S
USC00121869         261R
USC00121873          70R
USC00122096          88Q
USC00122149         153S
USC00122309         254S
USC00122638         145S
USC00122660         308R
USC00122731         657R
USC00122825         131C
USC00123078          88Q
USC00123082         101S
USC00123091         128Q
USC00123104         184S
USC00123206          51Q
USC00123207          64R
USC00123418          73S
USC00123513         130S
USC00123527         128S
USC00123547         182C
USC00123777          86R
